Cartesian
Radius  Average   Standard Deviation   Variance
212        1098.46        6.53146          42.66
213        1118.47        2.93041        8.58731
214        1105.03        1.77005        3.13309
215        1107.38        3.02415        9.14547
216        1102.76        2.41086        5.81223
217        1110.71        4.84288        23.4534
218        1096.03        6.60837        43.6706
219        1110.79        2.24537        5.04169
220        1102.55        2.03796        4.15329
221        1109.59         2.2993         5.2868
222        1110.71        2.79201         7.7953
223        1103.44        5.74929        33.0543
224         1093.2        2.17562         4.7333
225        1095.45        3.19981        10.2388
226        1105.89         1.9324        3.73419
227         1103.1        5.18303        26.8638
228        1096.15        2.20888        4.87916
229        1103.23        2.85188        8.13323
230        1107.96        4.20713        17.6999
231        1104.76        2.60439        6.78286
232         1096.4        2.58055        6.65921
233        1099.32        3.92108        15.3749
234        1103.83        3.51535        12.3577
235        1086.88        3.31466         10.987
236        1088.51        3.55715        12.6533
237        1094.81        4.25703        18.1223
238        1105.95        14.7377        217.199
239        1107.13        2.49867        6.24336
240        1105.62        3.64854        13.3119
241        1100.91        30.0935        905.616
242        1107.25        2.68003        7.18256
243        1088.42        4.27456        18.2718
244         1101.9         2.3115        5.34303
245        1084.92        4.78876        22.9323
246        1107.48        2.79937         7.8365
247           1097        5.99248        35.9099
248        1098.42        2.04226        4.17083
249        1121.33        1.86354        3.47278
250        1113.96        7.27197        52.8816
Equation of Least Mean Square
y = 1087 + 0.10435x
------------------------------------------------
MidPoint
Radius  Average   Standard Deviation   Variance
------------------------------------------------
1        1.36473      0.0284386    0.000808755
2         2.9049      0.0286299    0.000819673
3        4.21042      0.0353464     0.00124937
4        4.33934      0.0107362    0.000115266
5        5.57114      0.0191983    0.000368575
6        5.79479     0.00649241    4.21513e-05
7        6.78758     0.00950944    9.04295e-05
8         7.3043     0.00962776    9.26938e-05
9        7.42285       0.197994      0.0392015
10        7.43443      0.0178937    0.000320185
11        7.37675      0.0279003    0.000778429
12         7.8008       0.037941     0.00143952
13         9.0521      0.0023325    5.44058e-06
14        9.25225      0.0236577    0.000559686
15        9.48697      0.0217999    0.000475238
16        9.74975     0.00791757    6.26879e-05
17        9.69539      0.0136362    0.000185945
18        9.76877     0.00731583    5.35214e-05
19        9.86774      0.0506871     0.00256918
20        10.1972      0.0253996    0.000645137
21        10.2786      0.0124699    0.000155499
22        10.3744      0.0197939    0.000391799
23        10.3828      0.0171349    0.000293606
24         10.983      0.0638156     0.00407243
25         12.497      0.0225176    0.000507044
26        12.8368     0.00516225    2.66489e-05
27        12.9218     0.00349876    1.22413e-05
28        13.5005      0.0158035    0.000249749
29        13.5932      0.0629776     0.00396618
30        13.5966       0.271984      0.0739754
31        13.9499       0.400653       0.160522
32        13.7818       0.228374      0.0521548
33        14.2244       0.258549      0.0668477
34        15.6096      0.0192872    0.000371996
35        14.7395      0.0116625    0.000136014
36        14.2863       0.180774      0.0326792
37        14.5892      0.0183909    0.000338225
38        14.4725      0.0149484    0.000223454
39        14.7255      0.0122905    0.000151057
40        15.1221     0.00386377    1.49287e-05
41        15.5611      0.0251193    0.000630978
42        15.5265        0.01498    0.000224402
43        15.7315      0.0120214    0.000144513
44        15.6016      0.0126048     0.00015888
45        15.6313       0.016507     0.00027248
46        15.8138      0.0375293     0.00140845
47        18.4248      0.0190189    0.000361718
48         18.978      0.0309419    0.000957398
49        18.6212       0.520238       0.270648
50        18.5896      0.0446234     0.00199125
51        19.0661       0.226791      0.0514343
52        18.7367     0.00832928    6.93769e-05
53        18.7154      0.0127391    0.000162284
54        19.1131       0.351603       0.123625
55        19.3287      0.0300534    0.000903208
56        19.2302      0.0243544    0.000593139
57          19.01      0.0443176     0.00196405
58        19.5536      0.0457635      0.0020943
59        19.7515      0.0111243    0.000123749
60         19.958       0.380993       0.145156
61        20.1743      0.0817274     0.00667936
62        20.4795      0.0164685    0.000271213
63        20.2745      0.0772418     0.00596629
64        20.3854      0.0121931    0.000148671
65        21.2826      0.0321168     0.00103149
66        20.7197     0.00886768    7.86357e-05
67        21.0381     0.00170452     2.9054e-06
68        20.6717      0.0420264     0.00176622
69        21.6693      0.0148024    0.000219112
70        20.9199      0.0341722     0.00116774
71        21.2826      0.0126494    0.000160006
72         21.015      0.0628021     0.00394411
73         21.513      0.0217999    0.000475238
74        21.6356      0.0431666     0.00186335
75        21.7816     0.00977858    9.56206e-05
76        22.2332     0.00737917    5.44522e-05
77        22.3086      0.0309505    0.000957936
78        22.1782       0.416939       0.173838
79        22.3487      0.0291563     0.00085009
80        22.6707       0.432521       0.187074
81        22.6894      0.0586715     0.00344234
82        22.1962      0.0570698     0.00325697
83        22.8116       0.053199     0.00283014
84        22.5916      0.0445601      0.0019856
85        24.1563     0.00699751    4.89652e-05
86        25.3944      0.0441167     0.00194628
87        23.2485        0.63785       0.406853
88        23.5636      0.0138082    0.000190667
89        23.8277      0.0524814     0.00275429
90        28.1221      0.0987796      0.0097574
91        24.2625      0.0330139     0.00108992
